trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-270.5148402875628,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-78.9048080079164,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-106.46274427975986,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,7,-139.32993070770422,"{0: 5, 1: 1, 2: 4, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-59.28632980424731,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,15,2.3866395768023585,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,2,-25.12226465923476,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-106.30483067725706,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-199.6026422800972,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-9.092893544487248,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-71.34653351793392,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,13,4.220064239728868,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-109.08588038571065,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,15,3.4197271496652317,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-37.77712064805257,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,28.940814557191377,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,14.0913888171354,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,13,32.181098453876146,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,20.021716394608326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-143.19106672462377,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,17.656865514694818,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,17,23.279971359659502,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,15.19993241850557,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,-25.05702660550137,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,10.456720501583149,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,-19.59278289818689,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,12,16.126277312026115,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,10.784755795834668,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,27.7550850800506,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,-21.278093476201434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
