trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",25,0,-176.4735910630123,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",25,0,-196.66422554976768,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,2,-95.09321895758684,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-72.28923109593076,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999999}",30,7,-107.27594905409616,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.8858423808639999}",20,0,-65.09885145286358,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467199}",25,0,-151.33205786210607,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817855}",25,0,-174.51629708648986,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.8337477621301498}",30,12,-168.79557942415846,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 4}",1
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",20,5,-86.35126954950849,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8007313507497958}",20,0,-87.58084763541024,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",30,0,-254.489333995638,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601039}",20,12,-22.116758800935436,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",20,0,-50.81236216210444,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
