trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.57451460809646,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.71862749549962,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.44129067728446,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.37472021265475,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.42320471350118,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.3800246296565,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.65690837619758,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.02099300103112,"{0: 16, 1: 4, 2: 7, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.2650911185477,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.27092627809986,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.89195875747877,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.22310036055353,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.72846304769242,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.7626179237201,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,7,-95.41189235884453,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-49.71876767556255,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.61311070703997,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,4,-106.02323120645096,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.21875966987793,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.17962437623905,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.5175959005177,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-153.9859661901346,"{0: 24, 1: 4, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.59208027462392,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.88461927106595,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.37512227032342,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-97.63835148398243,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.0991688866331,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.35883668484921,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,1,-99.1968603922814,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-47.98615450678093,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
